id,label,size
AGRICULTURE,AGRICULTURE,1
AREA STUDIES,AREA STUDIES,1
BUSINESS & ECONOMICS,BUSINESS & ECONOMICS,124
COMMUNICATION,COMMUNICATION,1
COMPUTER SCIENCE,COMPUTER SCIENCE,12
CONSTRUCTION & BUILDING TECHNOLOGY,CONSTRUCTION & BUILDING TECHNOLOGY,1
ENGINEERING,ENGINEERING,11
ENVIRONMENTAL SCIENCES & ECOLOGY,ENVIRONMENTAL SCIENCES & ECOLOGY,10
FOOD SCIENCE & TECHNOLOGY,FOOD SCIENCE & TECHNOLOGY,1
GEOGRAPHY,GEOGRAPHY,5
GOVERNMENT & LAW,GOVERNMENT & LAW,1
INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE,17
INTERNATIONAL RELATIONS,INTERNATIONAL RELATIONS,2
MATHEMATICAL METHODS IN SOCIAL SCIENCES,MATHEMATICAL METHODS IN SOCIAL SCIENCES,2
MATHEMATICS,MATHEMATICS,1
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,9
PSYCHOLOGY,PSYCHOLOGY,2
PUBLIC ADMINISTRATION,PUBLIC ADMINISTRATION,11
SCIENCE & TECHNOLOGY - OTHER TOPICS,SCIENCE & TECHNOLOGY - OTHER TOPICS,1
SOCIAL SCIENCES - OTHER TOPICS,SOCIAL SCIENCES - OTHER TOPICS,2
TELECOMMUNICATIONS,TELECOMMUNICATIONS,1
URBAN STUDIES,URBAN STUDIES,3
