from,to,width
AGRICULTURE,BUSINESS & ECONOMICS,1
AGRICULTURE,FOOD SCIENCE & TECHNOLOGY,1
AREA STUDIES,PUBLIC ADMINISTRATION,1
BUSINESS & ECONOMICS,COMPUTER SCIENCE,7
BUSINESS & ECONOMICS,ENGINEERING,29
BUSINESS & ECONOMICS,ENVIRONMENTAL SCIENCES & ECOLOGY,6
BUSINESS & ECONOMICS,FOOD SCIENCE & TECHNOLOGY,1
BUSINESS & ECONOMICS,GEOGRAPHY,3
BUSINESS & ECONOMICS,GOVERNMENT & LAW,1
BUSINESS & ECONOMICS,INFORMATION SCIENCE & LIBRARY SCIENCE,15
BUSINESS & ECONOMICS,INTERNATIONAL RELATIONS,2
BUSINESS & ECONOMICS,MATHEMATICAL METHODS IN SOCIAL SCIENCES,4
BUSINESS & ECONOMICS,MATHEMATICS,3
BUSINESS & ECONOMICS,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,21
BUSINESS & ECONOMICS,PSYCHOLOGY,4
BUSINESS & ECONOMICS,PUBLIC ADMINISTRATION,29
BUSINESS & ECONOMICS,SCIENCE & TECHNOLOGY - OTHER TOPICS,7
BUSINESS & ECONOMICS,SOCIAL SCIENCES - OTHER TOPICS,2
COMMUNICATION,INFORMATION SCIENCE & LIBRARY SCIENCE,1
COMMUNICATION,TELECOMMUNICATIONS,1
COMPUTER SCIENCE,ENGINEERING,3
COMPUTER SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE,14
COMPUTER SCIENCE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1
CONSTRUCTION & BUILDING TECHNOLOGY,ENGINEERING,1
ENGINEERING,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,20
ENVIRONMENTAL SCIENCES & ECOLOGY,GEOGRAPHY,8
ENVIRONMENTAL SCIENCES & ECOLOGY,PUBLIC ADMINISTRATION,5
ENVIRONMENTAL SCIENCES & ECOLOGY,SOCIAL SCIENCES - OTHER TOPICS,1
ENVIRONMENTAL SCIENCES & ECOLOGY,URBAN STUDIES,5
GEOGRAPHY,PUBLIC ADMINISTRATION,3
GEOGRAPHY,URBAN STUDIES,3
INFORMATION SCIENCE & LIBRARY SCIENCE,TELECOMMUNICATIONS,1
MATHEMATICAL METHODS IN SOCIAL SCIENCES,MATHEMATICS,3
PUBLIC ADMINISTRATION,URBAN STUDIES,3
