id,label,size
AGRICULTURE,AGRICULTURE,1
AREA STUDIES,AREA STUDIES,1
BUSINESS & ECONOMICS,BUSINESS & ECONOMICS,290
COMMUNICATION,COMMUNICATION,1
COMPUTER SCIENCE,COMPUTER SCIENCE,21
CONSTRUCTION & BUILDING TECHNOLOGY,CONSTRUCTION & BUILDING TECHNOLOGY,1
ENGINEERING,ENGINEERING,38
ENVIRONMENTAL SCIENCES & ECOLOGY,ENVIRONMENTAL SCIENCES & ECOLOGY,15
FOOD SCIENCE & TECHNOLOGY,FOOD SCIENCE & TECHNOLOGY,1
GEOGRAPHY,GEOGRAPHY,8
GOVERNMENT & LAW,GOVERNMENT & LAW,1
INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE,28
INTERNATIONAL RELATIONS,INTERNATIONAL RELATIONS,2
MATHEMATICAL METHODS IN SOCIAL SCIENCES,MATHEMATICAL METHODS IN SOCIAL SCIENCES,4
MATHEMATICS,MATHEMATICS,3
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,27
PSYCHOLOGY,PSYCHOLOGY,4
PUBLIC ADMINISTRATION,PUBLIC ADMINISTRATION,34
SCIENCE & TECHNOLOGY - OTHER TOPICS,SCIENCE & TECHNOLOGY - OTHER TOPICS,7
SOCIAL SCIENCES - OTHER TOPICS,SOCIAL SCIENCES - OTHER TOPICS,2
TELECOMMUNICATIONS,TELECOMMUNICATIONS,1
URBAN STUDIES,URBAN STUDIES,5
