from,to,width
AGRICULTURAL ECONOMICS & POLICY,ECONOMICS,1
AGRICULTURAL ECONOMICS & POLICY,FOOD SCIENCE & TECHNOLOGY,1
AREA STUDIES,PLANNING & DEVELOPMENT,1
BUSINESS FINANCE,ECONOMICS,4
BUSINESS FINANCE,INTERNATIONAL RELATIONS,1
BUSINESS,ECONOMICS,6
BUSINESS,ENGINEERING INDUSTRIAL,3
BUSINESS,HISTORY OF SOCIAL SCIENCES,1
BUSINESS,INTERNATIONAL RELATIONS,1
BUSINESS,MANAGEMENT,27
BUSINESS,PLANNING & DEVELOPMENT,3
BUSINESS,PSYCHOLOGY APPLIED,1
COMMUNICATION,INFORMATION SCIENCE & LIBRARY SCIENCE,1
COMMUNICATION,TELECOMMUNICATIONS,1
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,COMPUTER SCIENCE INFORMATION SYSTEMS,1
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1
COMPUTER SCIENCE INFORMATION SYSTEMS,COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,1
COMPUTER SCIENCE INFORMATION SYSTEMS,COMPUTER SCIENCE THEORY & METHODS,1
COMPUTER SCIENCE INFORMATION SYSTEMS,INFORMATION SCIENCE & LIBRARY SCIENCE,6
COMPUTER SCIENCE INFORMATION SYSTEMS,MANAGEMENT,3
COMPUTER SCIENCE INFORMATION SYSTEMS,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,ENGINEERING INDUSTRIAL,1
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,INFORMATION SCIENCE & LIBRARY SCIENCE,1
CONSTRUCTION & BUILDING TECHNOLOGY,ENGINEERING CIVIL,1
CONSTRUCTION & BUILDING TECHNOLOGY,ENGINEERING INDUSTRIAL,1
ECONOMICS,ENVIRONMENTAL STUDIES,3
ECONOMICS,FOOD SCIENCE & TECHNOLOGY,1
ECONOMICS,GEOGRAPHY,2
ECONOMICS,INTERNATIONAL RELATIONS,2
ECONOMICS,MANAGEMENT,3
ECONOMICS,PLANNING & DEVELOPMENT,3
ECONOMICS,POLITICAL SCIENCE,1
ECONOMICS,SOCIAL SCIENCES MATHEMATICAL METHODS,2
ECONOMICS,STATISTICS & PROBABILITY,1
ENGINEERING CIVIL,ENGINEERING INDUSTRIAL,1
ENGINEERING INDUSTRIAL,ENGINEERING MANUFACTURING,2
ENGINEERING INDUSTRIAL,MANAGEMENT,6
ENGINEERING INDUSTRIAL,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,3
ENGINEERING MANUFACTURING,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,2
ENGINEERING MULTIDISCIPLINARY,MANAGEMENT,1
ENGINEERING MULTIDISCIPLINARY,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1
ENVIRONMENTAL SCIENCES,ENVIRONMENTAL STUDIES,1
ENVIRONMENTAL STUDIES,GEOGRAPHY,5
ENVIRONMENTAL STUDIES,HOSPITALITY LEISURE SPORT & TOURISM,1
ENVIRONMENTAL STUDIES,MANAGEMENT,1
ENVIRONMENTAL STUDIES,PLANNING & DEVELOPMENT,2
ENVIRONMENTAL STUDIES,URBAN STUDIES,3
GEOGRAPHY,PLANNING & DEVELOPMENT,1
GEOGRAPHY,URBAN STUDIES,1
HOSPITALITY LEISURE SPORT & TOURISM,MANAGEMENT,1
INFORMATION SCIENCE & LIBRARY SCIENCE,MANAGEMENT,7
INFORMATION SCIENCE & LIBRARY SCIENCE,TELECOMMUNICATIONS,1
MANAGEMENT,MULTIDISCIPLINARY SCIENCES,1
MANAGEMENT,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,6
MANAGEMENT,PLANNING & DEVELOPMENT,2
MANAGEMENT,PSYCHOLOGY APPLIED,2
MANAGEMENT,PUBLIC ADMINISTRATION,1
PLANNING & DEVELOPMENT,URBAN STUDIES,1
SOCIAL SCIENCES MATHEMATICAL METHODS,STATISTICS & PROBABILITY,1
