id,label,size
AGRICULTURAL ECONOMICS & POLICY,AGRICULTURAL ECONOMICS & POLICY,1
AREA STUDIES,AREA STUDIES,1
BUSINESS,BUSINESS,45
BUSINESS FINANCE,BUSINESS FINANCE,4
COMMUNICATION,COMMUNICATION,1
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,1
COMPUTER SCIENCE INFORMATION SYSTEMS,COMPUTER SCIENCE INFORMATION SYSTEMS,10
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,3
COMPUTER SCIENCE THEORY & METHODS,COMPUTER SCIENCE THEORY & METHODS,1
CONSTRUCTION & BUILDING TECHNOLOGY,CONSTRUCTION & BUILDING TECHNOLOGY,1
ECONOMICS,ECONOMICS,46
ENGINEERING CIVIL,ENGINEERING CIVIL,1
ENGINEERING INDUSTRIAL,ENGINEERING INDUSTRIAL,10
ENGINEERING MANUFACTURING,ENGINEERING MANUFACTURING,2
ENGINEERING MULTIDISCIPLINARY,ENGINEERING MULTIDISCIPLINARY,1
ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES,1
ENVIRONMENTAL STUDIES,ENVIRONMENTAL STUDIES,10
FOOD SCIENCE & TECHNOLOGY,FOOD SCIENCE & TECHNOLOGY,1
GEOGRAPHY,GEOGRAPHY,5
HISTORY OF SOCIAL SCIENCES,HISTORY OF SOCIAL SCIENCES,1
HOSPITALITY LEISURE SPORT & TOURISM,HOSPITALITY LEISURE SPORT & TOURISM,1
INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE,17
INTERNATIONAL RELATIONS,INTERNATIONAL RELATIONS,2
MANAGEMENT,MANAGEMENT,67
MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES,1
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,9
PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,10
POLITICAL SCIENCE,POLITICAL SCIENCE,1
PSYCHOLOGY APPLIED,PSYCHOLOGY APPLIED,2
PUBLIC ADMINISTRATION,PUBLIC ADMINISTRATION,1
SOCIAL SCIENCES MATHEMATICAL METHODS,SOCIAL SCIENCES MATHEMATICAL METHODS,2
STATISTICS & PROBABILITY,STATISTICS & PROBABILITY,1
TELECOMMUNICATIONS,TELECOMMUNICATIONS,1
URBAN STUDIES,URBAN STUDIES,3
