from,to,width
AGRICULTURAL ECONOMICS & POLICY,ECONOMICS,1
AGRICULTURAL ECONOMICS & POLICY,FOOD SCIENCE & TECHNOLOGY,1
AREA STUDIES,PLANNING & DEVELOPMENT,1
BUSINESS FINANCE,ECONOMICS,4
BUSINESS FINANCE,INTERNATIONAL RELATIONS,1
BUSINESS,ECONOMICS,9
BUSINESS,ENGINEERING INDUSTRIAL,9
BUSINESS,HISTORY OF SOCIAL SCIENCES,1
BUSINESS,INTERNATIONAL RELATIONS,1
BUSINESS,MANAGEMENT,88
BUSINESS,PLANNING & DEVELOPMENT,8
BUSINESS,PSYCHOLOGY APPLIED,3
COMMUNICATION,INFORMATION SCIENCE & LIBRARY SCIENCE,1
COMMUNICATION,TELECOMMUNICATIONS,1
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,COMPUTER SCIENCE INFORMATION SYSTEMS,1
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1
COMPUTER SCIENCE INFORMATION SYSTEMS,COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,1
COMPUTER SCIENCE INFORMATION SYSTEMS,COMPUTER SCIENCE THEORY & METHODS,1
COMPUTER SCIENCE INFORMATION SYSTEMS,INFORMATION SCIENCE & LIBRARY SCIENCE,12
COMPUTER SCIENCE INFORMATION SYSTEMS,MANAGEMENT,7
COMPUTER SCIENCE INFORMATION SYSTEMS,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,ENGINEERING INDUSTRIAL,3
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,INFORMATION SCIENCE & LIBRARY SCIENCE,2
CONSTRUCTION & BUILDING TECHNOLOGY,ENGINEERING CIVIL,1
CONSTRUCTION & BUILDING TECHNOLOGY,ENGINEERING INDUSTRIAL,1
ECONOMICS,ENVIRONMENTAL STUDIES,5
ECONOMICS,FOOD SCIENCE & TECHNOLOGY,1
ECONOMICS,GEOGRAPHY,3
ECONOMICS,INTERNATIONAL RELATIONS,2
ECONOMICS,MANAGEMENT,8
ECONOMICS,PLANNING & DEVELOPMENT,5
ECONOMICS,POLITICAL SCIENCE,1
ECONOMICS,SOCIAL SCIENCES MATHEMATICAL METHODS,4
ECONOMICS,STATISTICS & PROBABILITY,3
ENGINEERING CIVIL,ENGINEERING INDUSTRIAL,1
ENGINEERING INDUSTRIAL,ENGINEERING MANUFACTURING,5
ENGINEERING INDUSTRIAL,MANAGEMENT,25
ENGINEERING INDUSTRIAL,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,16
ENGINEERING MANUFACTURING,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,5
ENGINEERING MULTIDISCIPLINARY,MANAGEMENT,4
ENGINEERING MULTIDISCIPLINARY,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,4
ENVIRONMENTAL SCIENCES,ENVIRONMENTAL STUDIES,2
ENVIRONMENTAL STUDIES,GEOGRAPHY,8
ENVIRONMENTAL STUDIES,HOSPITALITY LEISURE SPORT & TOURISM,1
ENVIRONMENTAL STUDIES,MANAGEMENT,1
ENVIRONMENTAL STUDIES,PLANNING & DEVELOPMENT,5
ENVIRONMENTAL STUDIES,URBAN STUDIES,5
GEOGRAPHY,PLANNING & DEVELOPMENT,3
GEOGRAPHY,URBAN STUDIES,3
HOSPITALITY LEISURE SPORT & TOURISM,MANAGEMENT,1
INFORMATION SCIENCE & LIBRARY SCIENCE,MANAGEMENT,15
INFORMATION SCIENCE & LIBRARY SCIENCE,TELECOMMUNICATIONS,1
MANAGEMENT,MULTIDISCIPLINARY SCIENCES,7
MANAGEMENT,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,21
MANAGEMENT,PLANNING & DEVELOPMENT,16
MANAGEMENT,PSYCHOLOGY APPLIED,4
MANAGEMENT,PUBLIC ADMINISTRATION,1
PLANNING & DEVELOPMENT,URBAN STUDIES,3
SOCIAL SCIENCES MATHEMATICAL METHODS,STATISTICS & PROBABILITY,3
