id,label,size
AGRICULTURAL ECONOMICS & POLICY,AGRICULTURAL ECONOMICS & POLICY,1
AREA STUDIES,AREA STUDIES,1
BUSINESS,BUSINESS,125
BUSINESS FINANCE,BUSINESS FINANCE,4
COMMUNICATION,COMMUNICATION,1
COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,COMPUTER SCIENCE ARTIFICIAL INTELLIGENCE,1
COMPUTER SCIENCE INFORMATION SYSTEMS,COMPUTER SCIENCE INFORMATION SYSTEMS,16
COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,COMPUTER SCIENCE INTERDISCIPLINARY APPLICATIONS,6
COMPUTER SCIENCE THEORY & METHODS,COMPUTER SCIENCE THEORY & METHODS,1
CONSTRUCTION & BUILDING TECHNOLOGY,CONSTRUCTION & BUILDING TECHNOLOGY,1
ECONOMICS,ECONOMICS,69
ENGINEERING CIVIL,ENGINEERING CIVIL,1
ENGINEERING INDUSTRIAL,ENGINEERING INDUSTRIAL,34
ENGINEERING MANUFACTURING,ENGINEERING MANUFACTURING,5
ENGINEERING MULTIDISCIPLINARY,ENGINEERING MULTIDISCIPLINARY,4
ENVIRONMENTAL SCIENCES,ENVIRONMENTAL SCIENCES,2
ENVIRONMENTAL STUDIES,ENVIRONMENTAL STUDIES,15
FOOD SCIENCE & TECHNOLOGY,FOOD SCIENCE & TECHNOLOGY,1
GEOGRAPHY,GEOGRAPHY,8
HISTORY OF SOCIAL SCIENCES,HISTORY OF SOCIAL SCIENCES,1
HOSPITALITY LEISURE SPORT & TOURISM,HOSPITALITY LEISURE SPORT & TOURISM,1
INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE,28
INTERNATIONAL RELATIONS,INTERNATIONAL RELATIONS,2
MANAGEMENT,MANAGEMENT,196
MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES,7
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,27
PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT,33
POLITICAL SCIENCE,POLITICAL SCIENCE,1
PSYCHOLOGY APPLIED,PSYCHOLOGY APPLIED,4
PUBLIC ADMINISTRATION,PUBLIC ADMINISTRATION,1
SOCIAL SCIENCES MATHEMATICAL METHODS,SOCIAL SCIENCES MATHEMATICAL METHODS,4
STATISTICS & PROBABILITY,STATISTICS & PROBABILITY,3
TELECOMMUNICATIONS,TELECOMMUNICATIONS,1
URBAN STUDIES,URBAN STUDIES,5
