id,label,size
Akbar H,Akbar H,2
Al-Dajani H,Al-Dajani H,2
Anderson MH,Anderson MH,2
Aribi A,Aribi A,2
Ariza-Montes JA,Ariza-Montes JA,2
Azagra-Caro JM,Azagra-Caro JM,2
Bjorkman I,Bjorkman I,4
Bolivar-Ramos MT,Bolivar-Ramos MT,2
Brettel M,Brettel M,3
Camison C,Camison C,3
Cegarra-Navarro JG,Cegarra-Navarro JG,2
Cepeda-Carrion G,Cepeda-Carrion G,2
Chang CH,Chang CH,3
Chang S,Chang S,2
Chen YS,Chen YS,4
Clarysse B,Clarysse B,2
Dupouet O,Dupouet O,2
Egbetokun A,Egbetokun A,2
Engelen A,Engelen A,2
Exposito-Langa M,Exposito-Langa M,2
Feeny S,Feeny S,2
Fernandez-De-Lucio I,Fernandez-De-Lucio I,2
Fey CF,Fey CF,3
Flatten TC,Flatten TC,3
Fores B,Fores B,3
Fosfuri A,Fosfuri A,2
Foss NJ,Foss NJ,2
Garcia-Morales VJ,Garcia-Morales VJ,4
Girma S,Girma S,2
Gong YP,Gong YP,3
Gutierrez-Gracia A,Gutierrez-Gracia A,2
Hayton JC,Hayton JC,2
Hoffmann VH,Hoffmann VH,2
Hurmelinna-Laukkanen P,Hurmelinna-Laukkanen P,5
Jimenez-Castillo D,Jimenez-Castillo D,2
Kim YA,Kim YA,2
Kneller R,Kneller R,2
Knockaert M,Knockaert M,2
Knoppen D,Knoppen D,3
Lane PJ,Lane PJ,3
Leal-Rodriguez AL,Leal-Rodriguez AL,2
Lee K,Lee K,2
Lewin AY,Lewin AY,2
Lhuillery S,Lhuillery S,2
Liao SH,Liao SH,2
Lichtenthaler E,Lichtenthaler E,2
Lichtenthaler U,Lichtenthaler U,3
Lin CH,Lin CH,2
Lin MJJ,Lin MJJ,2
Lin YH,Lin YH,2
Llorens-Montes FJ,Llorens-Montes FJ,2
Lyles MA,Lyles MA,3
Makinen SJ,Makinen SJ,2
Martin-Rojas R,Martin-Rojas R,2
Massini S,Massini S,2
McAdam M,McAdam M,2
McAdam R,McAdam R,3
Miller K,Miller K,2
Minbaeva D,Minbaeva D,2
Molina-Morales FX,Molina-Morales FX,2
Newell S,Newell S,2
Olander H,Olander H,2
Parida V,Parida V,2
Park BI,Park BI,2
Park HJ,Park HJ,2
Patel PC,Patel PC,5
Pedersen T,Pedersen T,5
Peeters C,Peeters C,2
Revilla E,Revilla E,2
Roberts N,Roberts N,2
Roldan JL,Roldan JL,2
Roper S,Roper S,2
Saenz MJ,Saenz MJ,3
Sanchez-Perez M,Sanchez-Perez M,2
Savin I,Savin I,2
Schleimer SC,Schleimer SC,2
Sharifi H,Sharifi H,2
Spithoven A,Spithoven A,2
Sun PYT,Sun PYT,2
Tavani SN,Tavani SN,2
Tribo JA,Tribo JA,2
Tzokas N,Tzokas N,2
Van den Bosch FAJ,Van den Bosch FAJ,3
Volberda HW,Volberda HW,4
Xia TJ,Xia TJ,2
Zahra SA,Zahra SA,5
