from,to,width
AHUJA G 2001,COHEN WM 1990,33
BARNEY J 1991,COHEN WM 1990,38
CHESBROUGH H. W. 2003,COHEN WM 1990,31
COCKBURN IM 1998,COHEN WM 1990,39
COHEN WM 1989,COHEN WM 1990,85
COHEN WM 1989,JANSEN JJP 2005,30
COHEN WM 1989,LANE PJ 1998,34
COHEN WM 1989,LANE PJ 2006,30
COHEN WM 1989,ZAHRA SA 2002,49
COHEN WM 1990,COHEN WM 1994,38
COHEN WM 1990,DYER JH 1998,49
COHEN WM 1990,EISENHARDT KM 2000,40
COHEN WM 1990,FORNELL C 1981,36
COHEN WM 1990,FOSFURI A 2008,34
COHEN WM 1990,GRANT RM 1996,55
COHEN WM 1990,HUBER GP 1991,37
COHEN WM 1990,JANSEN JJP 2005,83
COHEN WM 1990,KIM L 1998,34
COHEN WM 1990,KOGUT B 1992,48
COHEN WM 1990,LANE PJ 1998,108
COHEN WM 1990,LANE PJ 2001,69
COHEN WM 1990,LANE PJ 2006,93
COHEN WM 1990,LENOX M 2004,31
COHEN WM 1990,LICHTENTHALER U 2009,44
COHEN WM 1990,MARCH JG 1991,39
COHEN WM 1990,MOWERY DC 1996,39
COHEN WM 1990,NONAKA I. 1995,31
COHEN WM 1990,PODSAKOFF PM 2003,30
COHEN WM 1990,SZULANSKI G 1996,66
COHEN WM 1990,TEECE DJ 1997,35
COHEN WM 1990,TODOROVA G 2007,51
COHEN WM 1990,TSAI WP 2001,56
COHEN WM 1990,VAN DEN BOSCH FAJ 1999,51
COHEN WM 1990,VOLBERDA HW 2010,43
COHEN WM 1990,ZAHRA SA 2002,140
DYER JH 1998,LANE PJ 1998,33
EISENHARDT KM 2000,ZAHRA SA 2002,30
GRANT RM 1996,JANSEN JJP 2005,31
GRANT RM 1996,LANE PJ 2006,32
GRANT RM 1996,ZAHRA SA 2002,40
JANSEN JJP 2005,LANE PJ 1998,53
JANSEN JJP 2005,LANE PJ 2001,42
JANSEN JJP 2005,LANE PJ 2006,70
JANSEN JJP 2005,LICHTENTHALER U 2009,38
JANSEN JJP 2005,SZULANSKI G 1996,33
JANSEN JJP 2005,TODOROVA G 2007,41
JANSEN JJP 2005,TSAI WP 2001,38
JANSEN JJP 2005,VAN DEN BOSCH FAJ 1999,32
JANSEN JJP 2005,VOLBERDA HW 2010,30
JANSEN JJP 2005,ZAHRA SA 2002,71
KIM L 1998,ZAHRA SA 2002,35
KOGUT B 1992,LANE PJ 1998,30
KOGUT B 1992,LANE PJ 2006,31
KOGUT B 1992,ZAHRA SA 2002,33
LANE PJ 1998,LANE PJ 2001,65
LANE PJ 1998,LANE PJ 2006,75
LANE PJ 1998,LICHTENTHALER U 2009,30
LANE PJ 1998,MARCH JG 1991,33
LANE PJ 1998,MOWERY DC 1996,38
LANE PJ 1998,SZULANSKI G 1996,58
LANE PJ 1998,TODOROVA G 2007,41
LANE PJ 1998,TSAI WP 2001,39
LANE PJ 1998,VAN DEN BOSCH FAJ 1999,44
LANE PJ 1998,VOLBERDA HW 2010,35
LANE PJ 1998,ZAHRA SA 2002,92
LANE PJ 2001,LANE PJ 2006,52
LANE PJ 2001,SZULANSKI G 1996,43
LANE PJ 2001,TSAI WP 2001,37
LANE PJ 2001,VAN DEN BOSCH FAJ 1999,37
LANE PJ 2001,ZAHRA SA 2002,63
LANE PJ 2006,LENOX M 2004,30
LANE PJ 2006,LICHTENTHALER U 2009,45
LANE PJ 2006,SZULANSKI G 1996,44
LANE PJ 2006,TODOROVA G 2007,58
LANE PJ 2006,TSAI WP 2001,43
LANE PJ 2006,VAN DEN BOSCH FAJ 1999,40
LANE PJ 2006,VOLBERDA HW 2010,43
LANE PJ 2006,ZAHRA SA 2002,90
LICHTENTHALER U 2009,ZAHRA SA 2002,42
MARCH JG 1991,ZAHRA SA 2002,44
MOWERY DC 1996,ZAHRA SA 2002,37
NONAKA I. 1995,ZAHRA SA 2002,30
PODSAKOFF PM 2003,ZAHRA SA 2002,31
SZULANSKI G 1996,TODOROVA G 2007,39
SZULANSKI G 1996,TSAI WP 2001,44
SZULANSKI G 1996,VAN DEN BOSCH FAJ 1999,41
SZULANSKI G 1996,VOLBERDA HW 2010,30
SZULANSKI G 1996,ZAHRA SA 2002,83
TEECE DJ 1997,ZAHRA SA 2002,47
TODOROVA G 2007,TSAI WP 2001,39
TODOROVA G 2007,VAN DEN BOSCH FAJ 1999,40
TODOROVA G 2007,VOLBERDA HW 2010,37
TODOROVA G 2007,ZAHRA SA 2002,81
TSAI WP 2001,VAN DEN BOSCH FAJ 1999,40
TSAI WP 2001,VOLBERDA HW 2010,34
TSAI WP 2001,ZAHRA SA 2002,75
VAN DEN BOSCH FAJ 1999,ZAHRA SA 2002,65
VOLBERDA HW 2010,ZAHRA SA 2002,55
