id,label,size
AHUJA G 2001,AHUJA G 2001,40
BARNEY J 1991,BARNEY J 1991,42
CHESBROUGH H. W. 2003,CHESBROUGH H. W. 2003,34
COCKBURN IM 1998,COCKBURN IM 1998,44
COHEN WM 1989,COHEN WM 1989,114
COHEN WM 1990,COHEN WM 1990,270
COHEN WM 1994,COHEN WM 1994,39
DYER JH 1998,DYER JH 1998,50
EISENHARDT KM 2000,EISENHARDT KM 2000,45
ESCRIBANO A 2009,ESCRIBANO A 2009,31
FLATTEN TC 2011,FLATTEN TC 2011,30
FORNELL C 1981,FORNELL C 1981,41
FOSFURI A 2008,FOSFURI A 2008,38
GRANT RM 1996,GRANT RM 1996,69
GUPTA AK 2000,GUPTA AK 2000,31
HUBER GP 1991,HUBER GP 1991,43
JANSEN JJP 2005,JANSEN JJP 2005,99
KIM L 1998,KIM L 1998,47
KOGUT B 1992,KOGUT B 1992,59
LANE PJ 1998,LANE PJ 1998,139
LANE PJ 2001,LANE PJ 2001,89
LANE PJ 2006,LANE PJ 2006,125
LAURSEN K 2006,LAURSEN K 2006,34
LENOX M 2004,LENOX M 2004,38
LEVINTHAL DA 1993,LEVINTHAL DA 1993,32
LICHTENTHALER U 2009,LICHTENTHALER U 2009,65
MARCH JG 1991,MARCH JG 1991,56
MOWERY DC 1996,MOWERY DC 1996,57
NELSON R. R. 1982,NELSON R. R. 1982,40
NONAKA I 1994,NONAKA I 1994,30
NONAKA I. 1995,NONAKA I. 1995,43
PODSAKOFF PM 2003,PODSAKOFF PM 2003,45
POWELL WW 1996,POWELL WW 1996,32
SIMONIN BL 1999,SIMONIN BL 1999,30
STOCK G.N. 2001,STOCK G.N. 2001,35
SZULANSKI G 1996,SZULANSKI G 1996,97
TEECE DJ 1997,TEECE DJ 1997,56
TODOROVA G 2007,TODOROVA G 2007,86
TSAI WP 2001,TSAI WP 2001,84
VAN DEN BOSCH FAJ 1999,VAN DEN BOSCH FAJ 1999,71
VEUGELERS R 1997,VEUGELERS R 1997,34
VOLBERDA HW 2010,VOLBERDA HW 2010,64
ZAHRA SA 2002,ZAHRA SA 2002,230
ZOLLO M 2002,ZOLLO M 2002,30
