id,label,size
AZ 85287 USA,AZ 85287 USA,2
Australia,Australia,19
Austria,Austria,5
Belgium,Belgium,11
CA 90089 USA,CA 90089 USA,2
CO 80309 USA,CO 80309 USA,2
CT USA,CT USA,2
Canada,Canada,13
Denmark,Denmark,11
England,England,47
Finland,Finland,17
France,France,18
GA 30303 USA,GA 30303 USA,3
Germany,Germany,23
IA 50011 USA,IA 50011 USA,2
IN 46202 USA,IN 46202 USA,2
IN 47306 USA,IN 47306 USA,5
Ireland,Ireland,2
Israel,Israel,3
Italy,Italy,19
Japan,Japan,4
MA 02138 USA,MA 02138 USA,3
MI 48309 USA,MI 48309 USA,2
MN 55455 USA,MN 55455 USA,5
NC 27708 USA,NC 27708 USA,2
NONE,NONE,5
NY 14853 USA,NY 14853 USA,3
Netherlands,Netherlands,21
New Zealand,New Zealand,3
North Ireland,North Ireland,3
Norway,Norway,9
OH 43606 USA,OH 43606 USA,2
OH 44115 USA,OH 44115 USA,2
PA 16802 USA,PA 16802 USA,2
Peoples R China,Peoples R China,23
Poland,Poland,2
Portugal,Portugal,4
RI 02917 USA,RI 02917 USA,2
Russia,Russia,5
Scotland,Scotland,4
Singapore,Singapore,2
Slovenia,Slovenia,3
South Korea,South Korea,13
Spain,Spain,49
Sweden,Sweden,7
Switzerland,Switzerland,9
Taiwan,Taiwan,23
Thailand,Thailand,2
WI USA,WI USA,2
