id,label,size
Australia,Australia,19
Austria,Austria,5
Belgium,Belgium,11
Canada,Canada,13
Denmark,Denmark,11
England,England,47
Finland,Finland,17
France,France,18
Germany,Germany,23
Ireland,Ireland,2
Israel,Israel,3
Italy,Italy,19
Japan,Japan,4
NONE,NONE,5
Netherlands,Netherlands,21
New Zealand,New Zealand,3
North Ireland,North Ireland,3
Norway,Norway,9
Peoples R China,Peoples R China,23
Poland,Poland,2
Portugal,Portugal,4
Russia,Russia,5
Scotland,Scotland,4
Singapore,Singapore,2
Slovenia,Slovenia,3
South Korea,South Korea,13
Spain,Spain,49
Sweden,Sweden,7
Switzerland,Switzerland,9
Taiwan,Taiwan,23
Thailand,Thailand,2
USA,USA,87
