from,to,width
Ball State Univ,Lulea Univ Technol,2
Belgian Sci Policy,Univ Ghent,2
Belgian Sci Policy,Univ London Imperial Coll Sci Technol & Med,2
Belgian Sci Policy,Univ Oslo,2
Belgian Sci Policy,Vlerick Leuven Gent Management Sch,2
Chinese Univ Hong Kong,Hong Kong Univ Sci & Technol,2
Chinese Univ Hong Kong,Nanjing Univ,2
Cornell Univ,Stockholm Sch Econ,2
Cornell Univ,Swedish Sch Econ & Business Adm,2
Duke Univ,Univ Manchester,2
Iowa State Univ,Univ Waikato,2
Kedge Business Sch,Univ Angers,2
Lappeenranta Univ Technol,Univ Oulu,3
Maastricht Univ,Univ Antwerp,2
Natl Sun Yat Sen Univ,Shu Te Univ,2
Natl Taipei Univ,Tamkang Univ,2
Queens Univ Belfast,Univ Ulster,3
Stockholm Sch Econ,Swedish Sch Econ & Business Adm,2
Univ Ghent,Univ London Imperial Coll Sci Technol & Med,2
Univ Ghent,Univ Oslo,2
Univ Ghent,Vlerick Leuven Gent Management Sch,2
Univ Granada,Univ Leon,2
Univ Jaume 1,Univ Politecn Valencia,2
Univ Jena,Ural Fed Univ,2
Univ London Imperial Coll Sci Technol & Med,Univ Oslo,2
Univ London Imperial Coll Sci Technol & Med,Vlerick Leuven Gent Management Sch,2
Univ Loyola Andalucia,Univ Seville,2
Univ Oslo,Vlerick Leuven Gent Management Sch,2
