id,label,size
Aachen Univ RWTH,Aachen Univ RWTH,2
Aalto Univ,Aalto Univ,3
Arizona State Univ,Arizona State Univ,3
Ball State Univ,Ball State Univ,5
Belgian Sci Policy,Belgian Sci Policy,2
Bocconi Univ,Bocconi Univ,3
Bryant Univ,Bryant Univ,2
Chinese Univ Hong Kong,Chinese Univ Hong Kong,3
City Univ Hong Kong,City Univ Hong Kong,2
Cleveland State Univ,Cleveland State Univ,2
Copenhagen Business Sch,Copenhagen Business Sch,6
Cornell Univ,Cornell Univ,3
Dartmouth Coll,Dartmouth Coll,2
Duke Univ,Duke Univ,3
E Carolina Univ,E Carolina Univ,2
EADA Business Sch,EADA Business Sch,2
Ecole Polytech Fed Lausanne,Ecole Polytech Fed Lausanne,2
Eindhoven Univ Technol,Eindhoven Univ Technol,2
Erasmus Univ,Erasmus Univ,7
European Commiss,European Commiss,2
Fordham Univ,Fordham Univ,2
Georgia State Univ,Georgia State Univ,4
Griffith Univ,Griffith Univ,3
Hanken Sch Econ,Hanken Sch Econ,2
Hankuk Univ Foreign Studies,Hankuk Univ Foreign Studies,2
Harvard Univ,Harvard Univ,2
Hong Kong Univ Sci & Technol,Hong Kong Univ Sci & Technol,3
INSEAD,INSEAD,2
Indiana Univ,Indiana Univ,5
Iowa State Univ,Iowa State Univ,3
Kedge Business Sch,Kedge Business Sch,2
Lappeenranta Univ Technol,Lappeenranta Univ Technol,4
Lulea Univ Technol,Lulea Univ Technol,2
Maastricht Univ,Maastricht Univ,3
Max Planck Inst Econ,Max Planck Inst Econ,2
NONE,NONE,5
Nanjing Univ,Nanjing Univ,2
Natl Cent Univ,Natl Cent Univ,4
Natl Cheng Kung Univ,Natl Cheng Kung Univ,4
Natl Chengchi Univ,Natl Chengchi Univ,2
Natl Def Univ,Natl Def Univ,2
Natl Inst Econ & Social Res,Natl Inst Econ & Social Res,2
Natl Sun Yat Sen Univ,Natl Sun Yat Sen Univ,2
Natl Taipei Univ,Natl Taipei Univ,3
Natl Univ Kaohsiung,Natl Univ Kaohsiung,2
Oakland Univ,Oakland Univ,2
Peking Univ,Peking Univ,2
Penn State Univ,Penn State Univ,2
Politecn Milan,Politecn Milan,3
Queens Univ,Queens Univ,2
Queens Univ Belfast,Queens Univ Belfast,3
RMIT Univ,RMIT Univ,3
Rhein Westfal TH Aachen,Rhein Westfal TH Aachen,2
Rice Univ,Rice Univ,2
Seoul Natl Univ,Seoul Natl Univ,2
Shu Te Univ,Shu Te Univ,2
Stockholm Sch Econ,Stockholm Sch Econ,3
Sungkyunkwan Univ,Sungkyunkwan Univ,2
Swedish Sch Econ & Business Adm,Swedish Sch Econ & Business Adm,2
Swiss Fed Inst Technol Zurich ETHZ,Swiss Fed Inst Technol Zurich ETHZ,2
Tamkang Univ,Tamkang Univ,4
Tampere Univ Technol,Tampere Univ Technol,2
Tilburg Univ,Tilburg Univ,3
Univ Almeria,Univ Almeria,2
Univ Angers,Univ Angers,2
Univ Antwerp,Univ Antwerp,2
Univ Arkansas,Univ Arkansas,2
Univ Birmingham,Univ Birmingham,2
Univ Bologna,Univ Bologna,3
Univ Cambridge,Univ Cambridge,2
Univ Carlos III Madrid,Univ Carlos III Madrid,2
Univ Castilla La Mancha,Univ Castilla La Mancha,2
Univ Colorado,Univ Colorado,2
Univ Connecticut,Univ Connecticut,2
Univ Durham,Univ Durham,2
Univ E Anglia,Univ E Anglia,3
Univ Ghent,Univ Ghent,3
Univ Girona,Univ Girona,2
Univ Granada,Univ Granada,6
Univ Groningen,Univ Groningen,2
Univ Haifa,Univ Haifa,2
Univ Hamburg,Univ Hamburg,2
Univ Jaume 1,Univ Jaume 1,5
Univ Jena,Univ Jena,2
Univ Lancaster,Univ Lancaster,2
Univ Leeds,Univ Leeds,3
Univ Leicester,Univ Leicester,2
Univ Leon,Univ Leon,3
Univ Liverpool,Univ Liverpool,4
Univ Ljubljana,Univ Ljubljana,3
Univ London Imperial Coll Sci Technol & Med,Univ London Imperial Coll Sci Technol & Med,2
Univ Loyola Andalucia,Univ Loyola Andalucia,2
Univ Manchester,Univ Manchester,3
Univ Minnesota,Univ Minnesota,5
Univ Nottingham,Univ Nottingham,8
Univ Oslo,Univ Oslo,2
Univ Ottawa,Univ Ottawa,2
Univ Oulu,Univ Oulu,5
Univ Oxford,Univ Oxford,3
Univ Politecn Cartagena,Univ Politecn Cartagena,2
Univ Politecn Valencia,Univ Politecn Valencia,6
Univ Queensland,Univ Queensland,3
Univ Seville,Univ Seville,4
Univ So Calif,Univ So Calif,2
Univ So Denmark,Univ So Denmark,2
Univ Strathclyde,Univ Strathclyde,2
Univ Sussex,Univ Sussex,3
Univ Tasmania,Univ Tasmania,2
Univ Toledo,Univ Toledo,3
Univ Ulster,Univ Ulster,3
Univ Vigo,Univ Vigo,2
Univ Waikato,Univ Waikato,2
Univ Warwick,Univ Warwick,3
Univ Western Sydney,Univ Western Sydney,2
Univ Wisconsin,Univ Wisconsin,2
Univ Zaragoza,Univ Zaragoza,4
Ural Fed Univ,Ural Fed Univ,2
Vienna Univ Econ & Business,Vienna Univ Econ & Business,3
Virginia Tech,Virginia Tech,2
Vlerick Leuven Gent Management Sch,Vlerick Leuven Gent Management Sch,2
Vrije Univ Amsterdam,Vrije Univ Amsterdam,2
ZEW Ctr European Econ Res,ZEW Ctr European Econ Res,2
Zaragoza Logist Ctr,Zaragoza Logist Ctr,2
Zhejiang Univ,Zhejiang Univ,3
