id,label,size
ABSORPTIVE CAPACITY,ABSORPTIVE CAPACITY,211
ALLIANCES,ALLIANCES,5
CHINA,CHINA,5
COGNITIVE DISTANCE,COGNITIVE DISTANCE,6
DYNAMIC CAPABILITIES,DYNAMIC CAPABILITIES,7
ECONOMIC GROWTH,ECONOMIC GROWTH,7
ENTREPRENEURIAL ORIENTATION,ENTREPRENEURIAL ORIENTATION,4
FOREIGN DIRECT INVESTMENT,FOREIGN DIRECT INVESTMENT,8
HUMAN CAPITAL,HUMAN CAPITAL,9
INNOVATION,INNOVATION,42
INNOVATION CAPABILITY,INNOVATION CAPABILITY,4
INNOVATION PERFORMANCE,INNOVATION PERFORMANCE,5
KNOWLEDGE,KNOWLEDGE,11
KNOWLEDGE ACQUISITION,KNOWLEDGE ACQUISITION,6
KNOWLEDGE MANAGEMENT,KNOWLEDGE MANAGEMENT,17
KNOWLEDGE SPILLOVERS,KNOWLEDGE SPILLOVERS,5
KNOWLEDGE TRANSFER,KNOWLEDGE TRANSFER,7
LEARNING,LEARNING,5
NETWORKS,NETWORKS,4
NEW PRODUCT DEVELOPMENT,NEW PRODUCT DEVELOPMENT,4
OPEN INNOVATION,OPEN INNOVATION,7
ORGANIZATIONAL LEARNING,ORGANIZATIONAL LEARNING,13
PATENTS,PATENTS,4
PERFORMANCE,PERFORMANCE,8
PRODUCTIVITY,PRODUCTIVITY,6
R&D,R&D,14
REALISED ABSORPTIVE CAPACITY,REALISED ABSORPTIVE CAPACITY,4
SMES,SMES,7
SOCIAL CAPITAL,SOCIAL CAPITAL,6
STRUCTURAL EQUATION MODELING,STRUCTURAL EQUATION MODELING,5
