from,to,width
2 FACES,RESEARCH-AND-DEVELOPMENT,6
ANTECEDENTS,FIRM,7
ANTECEDENTS,INNOVATION,6
ANTECEDENTS,INNOVATION PERFORMANCE,6
ANTECEDENTS,KNOWLEDGE TRANSFER,6
ANTECEDENTS,MANAGEMENT,6
ANTECEDENTS,PERFORMANCE,6
ANTECEDENTS,PERSPECTIVE,9
ANTECEDENTS,RECONCEPTUALIZATION,6
CAPABILITIES,COMPETITIVE ADVANTAGE,11
CAPABILITIES,FIRM,10
CAPABILITIES,INNOVATION,16
CAPABILITIES,KNOWLEDGE,8
CAPABILITIES,KNOWLEDGE TRANSFER,8
CAPABILITIES,MANAGEMENT,7
CAPABILITIES,ORGANIZATIONS,8
CAPABILITIES,PERFORMANCE,22
CAPABILITIES,PERSPECTIVE,9
CAPABILITIES,PRODUCT DEVELOPMENT,6
CAPABILITIES,RESEARCH-AND-DEVELOPMENT,9
CAPABILITIES,STRATEGIC ALLIANCES,9
CAPABILITIES,TECHNOLOGY,10
COLLABORATION,STRATEGIC ALLIANCES,6
COMBINATIVE CAPABILITIES,COMPETITIVE ADVANTAGE,10
COMBINATIVE CAPABILITIES,DYNAMIC CAPABILITIES,8
COMBINATIVE CAPABILITIES,INNOVATION,6
COMBINATIVE CAPABILITIES,KNOWLEDGE TRANSFER,8
COMBINATIVE CAPABILITIES,PERFORMANCE,6
COMBINATIVE CAPABILITIES,PRODUCT DEVELOPMENT,7
COMBINATIVE CAPABILITIES,STRATEGIC ALLIANCES,7
COMPETITIVE ADVANTAGE,DYNAMIC CAPABILITIES,19
COMPETITIVE ADVANTAGE,EMPIRICAL-ANALYSIS,7
COMPETITIVE ADVANTAGE,EMPIRICAL-TEST,6
COMPETITIVE ADVANTAGE,FIRM,14
COMPETITIVE ADVANTAGE,FIRM PERFORMANCE,18
COMPETITIVE ADVANTAGE,INNOVATION,27
COMPETITIVE ADVANTAGE,INNOVATION PERFORMANCE,7
COMPETITIVE ADVANTAGE,JOINT VENTURES,7
COMPETITIVE ADVANTAGE,KNOWLEDGE,19
COMPETITIVE ADVANTAGE,KNOWLEDGE TRANSFER,14
COMPETITIVE ADVANTAGE,MANAGEMENT,9
COMPETITIVE ADVANTAGE,NETWORKS,7
COMPETITIVE ADVANTAGE,ORGANIZATIONS,7
COMPETITIVE ADVANTAGE,PERFORMANCE,27
COMPETITIVE ADVANTAGE,PERSPECTIVE,10
COMPETITIVE ADVANTAGE,PRODUCT DEVELOPMENT,19
COMPETITIVE ADVANTAGE,RECONCEPTUALIZATION,9
COMPETITIVE ADVANTAGE,RESEARCH-AND-DEVELOPMENT,24
COMPETITIVE ADVANTAGE,RESOURCE-BASED VIEW,13
COMPETITIVE ADVANTAGE,STRATEGIC ALLIANCES,23
COMPETITIVE ADVANTAGE,TECHNOLOGY,10
DYNAMIC CAPABILITIES,FIRM,10
DYNAMIC CAPABILITIES,FIRM PERFORMANCE,9
DYNAMIC CAPABILITIES,INDUSTRY,7
DYNAMIC CAPABILITIES,INNOVATION,17
DYNAMIC CAPABILITIES,KNOWLEDGE,7
DYNAMIC CAPABILITIES,KNOWLEDGE TRANSFER,14
DYNAMIC CAPABILITIES,MARKET ORIENTATION,6
DYNAMIC CAPABILITIES,PERFORMANCE,13
DYNAMIC CAPABILITIES,PERSPECTIVE,9
DYNAMIC CAPABILITIES,PRODUCT DEVELOPMENT,14
DYNAMIC CAPABILITIES,RECONCEPTUALIZATION,9
DYNAMIC CAPABILITIES,RESEARCH-AND-DEVELOPMENT,11
DYNAMIC CAPABILITIES,RESOURCE-BASED VIEW,11
DYNAMIC CAPABILITIES,STRATEGIC ALLIANCES,10
DYNAMIC CAPABILITIES,STRATEGIC MANAGEMENT,7
ECONOMIC-GROWTH,RESEARCH-AND-DEVELOPMENT,6
EMPIRICAL-ANALYSIS,KNOWLEDGE,6
EMPIRICAL-ANALYSIS,RESEARCH-AND-DEVELOPMENT,7
ENVIRONMENT,INNOVATION,6
FIRM PERFORMANCE,INNOVATION,11
