id,label,size
2 FACES,2 FACES,8
ALLIANCES,ALLIANCES,9
ANTECEDENTS,ANTECEDENTS,25
BIOTECHNOLOGY,BIOTECHNOLOGY,8
BUSINESS,BUSINESS,7
CAPABILITIES,CAPABILITIES,41
CAPABILITY,CAPABILITY,7
COLLABORATION,COLLABORATION,9
COMBINATIVE CAPABILITIES,COMBINATIVE CAPABILITIES,21
COMPETITION,COMPETITION,10
COMPETITIVE ADVANTAGE,COMPETITIVE ADVANTAGE,77
COOPERATION,COOPERATION,6
COUNTRIES,COUNTRIES,7
CREATION,CREATION,7
DETERMINANTS,DETERMINANTS,14
DEVELOPMENT SPILLOVERS,DEVELOPMENT SPILLOVERS,8
DIFFUSION,DIFFUSION,9
DOMESTIC FIRMS,DOMESTIC FIRMS,6
DYNAMIC CAPABILITIES,DYNAMIC CAPABILITIES,46
ECONOMIC-GROWTH,ECONOMIC-GROWTH,9
EMPIRICAL-ANALYSIS,EMPIRICAL-ANALYSIS,13
EMPIRICAL-TEST,EMPIRICAL-TEST,8
ENVIRONMENT,ENVIRONMENT,7
EVOLUTION,EVOLUTION,8
EXPLOITATION,EXPLOITATION,9
EXPLORATION,EXPLORATION,10
FDI,FDI,6
FIRM,FIRM,53
FIRM PERFORMANCE,FIRM PERFORMANCE,35
FIRMS,FIRMS,32
FOREIGN DIRECT-INVESTMENT,FOREIGN DIRECT-INVESTMENT,13
GROWTH,GROWTH,14
IMPACT,IMPACT,23
INDUSTRIES,INDUSTRIES,7
INDUSTRY,INDUSTRY,33
INFORMATION,INFORMATION,10
INFORMATION-TECHNOLOGY,INFORMATION-TECHNOLOGY,12
INNOVATION,INNOVATION,131
INNOVATION PERFORMANCE,INNOVATION PERFORMANCE,19
INTEGRATION,INTEGRATION,8
INTERNATIONAL JOINT VENTURES,INTERNATIONAL JOINT VENTURES,8
INTERNATIONAL-JOINT-VENTURES,INTERNATIONAL-JOINT-VENTURES,12
JOINT VENTURES,JOINT VENTURES,15
KNOWLEDGE,KNOWLEDGE,59
KNOWLEDGE CREATION,KNOWLEDGE CREATION,6
KNOWLEDGE MANAGEMENT,KNOWLEDGE MANAGEMENT,12
KNOWLEDGE SPILLOVERS,KNOWLEDGE SPILLOVERS,6
KNOWLEDGE TRANSFER,KNOWLEDGE TRANSFER,52
LINKAGES,LINKAGES,8
MANAGEMENT,MANAGEMENT,39
MANUFACTURING FIRMS,MANUFACTURING FIRMS,10
MARKET,MARKET,6
MARKET ORIENTATION,MARKET ORIENTATION,15
ME HALFWAY,ME HALFWAY,6
MODEL,MODEL,23
MODELS,MODELS,6
MODERATING ROLE,MODERATING ROLE,9
MULTINATIONAL-CORPORATIONS,MULTINATIONAL-CORPORATIONS,10
NETWORKS,NETWORKS,24
OPEN INNOVATION,OPEN INNOVATION,6
ORGANIZATION,ORGANIZATION,7
ORGANIZATIONAL AMBIDEXTERITY,ORGANIZATIONAL AMBIDEXTERITY,6
ORGANIZATIONAL ANTECEDENTS,ORGANIZATIONAL ANTECEDENTS,7
ORGANIZATIONAL PERFORMANCE,ORGANIZATIONAL PERFORMANCE,9
ORGANIZATIONS,ORGANIZATIONS,28
ORIENTATION,ORIENTATION,7
PANEL-DATA,PANEL-DATA,7
PATENT CITATIONS,PATENT CITATIONS,9
PERFORMANCE,PERFORMANCE,100
PERSPECTIVE,PERSPECTIVE,65
POLICY,POLICY,6
PRODUCT DEVELOPMENT,PRODUCT DEVELOPMENT,41
PRODUCT INNOVATION,PRODUCT INNOVATION,6
PRODUCTIVITY,PRODUCTIVITY,22
PROXIMITY,PROXIMITY,6
R-AND-D,R-AND-D,8
RECONCEPTUALIZATION,RECONCEPTUALIZATION,38
RESEARCH JOINT VENTURES,RESEARCH JOINT VENTURES,7
RESEARCH-AND-DEVELOPMENT,RESEARCH-AND-DEVELOPMENT,80
RESOURCE-BASED VIEW,RESOURCE-BASED VIEW,23
SCIENCE,SCIENCE,8
SOCIAL-STRUCTURE,SOCIAL-STRUCTURE,7
SPILLOVERS,SPILLOVERS,22
STRATEGIC ALLIANCES,STRATEGIC ALLIANCES,48
STRATEGIC MANAGEMENT,STRATEGIC MANAGEMENT,9
STRATEGY,STRATEGY,11
SYSTEMS,SYSTEMS,17
TECHNOLOGICAL-INNOVATION,TECHNOLOGICAL-INNOVATION,7
TECHNOLOGY,TECHNOLOGY,54
TECHNOLOGY-TRANSFER,TECHNOLOGY-TRANSFER,14
TRADE,TRADE,8
VENTURES,VENTURES,7
